site,date,observerEnc,encounterType,bandNumber,rsLong,rsLat
DOPLJANMA1,1/9/2015,NA,Resight-participant,275035145,NA,NA
ROSEJOSMA1,1/27/2015,NA,Resight-participant,189111047,NA,NA
STEPJANMA1,1/30/2015,NA,Resight-participant,258197904,NA,NA
CLAYBRYMA1,2/7/2015,NA,Resight-participant,256186618,NA,NA
ROSEJOSMA1,2/15/2015,NA,Resight-participant,237104368,NA,NA
CLAYBRYMA1,2/23/2015,NA,Resight-participant,256186618,NA,NA
CLAYBRYMA1,3/3/2015,NA,Resight-participant,256186618,NA,NA
LEWASUSMA1,3/6/2015,NA,Resight-participant,256186608,NA,NA
CLAYBRYMA1,3/18/2015,NA,Resight-participant,272099521,NA,NA
DOPLJANMA1,3/18/2015,NA,Resight-participant,269087755,NA,NA
GRIFRACMA1,3/20/2015,NA,Resight-participant,189111072,NA,NA
MERIMARMA1,3/24/2015,NA,Resight-participant,269087792,NA,NA
MERIMARMA1,3/24/2015,NA,Resight-participant,269087793,NA,NA
CLAYBRYMA1,3/25/2015,NA,Resight-participant,256186618,NA,NA
CLAYBRYMA1,3/28/2015,NA,Resight-participant,269087917,NA,NA
CLAYBRYMA1,3/28/2015,NA,Resight-participant,272099521,NA,NA
CLAYBRYMA1,4/2/2015,NA,Resight-participant,256186618,NA,NA
GRIFRACMA1,4/2/2015,NA,Resight-participant,121236664,NA,NA
HALALEEMA1,4/2/2015,NA,Resight-participant,273027504,NA,NA
DOPLJANMA1,4/3/2015,NA,Resight-participant,269087755,NA,NA
CLAYBRYMA1,4/8/2015,NA,Resight-participant,256186618,NA,NA
FAERHOWMA1,4/11/2015,NA,Resight-participant,273027506,NA,NA
HALALEEMA1,4/11/2015,NA,Resight-participant,121236683,NA,NA
GRIFRACMA1,4/12/2015,NA,Resight-participant,135263516,NA,NA
BAKENANMA1,4/14/2015,NA,Resight-participant,269087830,NA,NA
HAZZANNMA1,4/14/2015,NA,Resight-participant,272099513,NA,NA
BAKENANMA1,4/16/2015,NA,Resight-participant,256186610,NA,NA
WILDSIEMA1,4/17/2015,NA,Resight-participant,256185701,-72.87694,42.403316
JORGJANMA1,4/19/2015,NA,Resight-participant,121252838,NA,NA
ANDEHALMA1,4/22/2015,NA,Resight-participant,272099540,NA,NA
HAZZANNMA1,4/23/2015,NA,Resight-participant,272099514,NA,NA
AKREMIKMA2,4/24/2015,NA,Resight-participant,269106139,NA,NA
DOPLJANMA1,4/26/2015,NA,Resight-participant,269087755,NA,NA
BAKENANMA1,4/28/2015,NA,Resight-participant,269087715,NA,NA
BAKENANMA1,4/28/2015,NA,Resight-participant,269087830,NA,NA
CLAYBRYMA1,4/28/2015,NA,Resight-participant,269087917,NA,NA
CLAYBRYMA1,4/28/2015,NA,Resight-participant,272099521,NA,NA
LEWASUSMA1,4/30/2015,NA,Resight-participant,256186608,NA,NA
TOSCPAMMA1,5/3/2015,NA,Resight-participant,237104377,NA,NA
GRIFRACMA1,5/6/2015,NA,Resight-participant,264185630,NA,NA
ROSEJOSMA1,5/6/2015,NA,Resight-participant,265117112,NA,NA
CLAYBRYMA1,5/7/2015,NA,Resight-participant,269087917,NA,NA
GRIFRACMA1,5/7/2015,NA,Resight-participant,189111072,NA,NA
KANEBRIMA1,5/7/2015,NA,Resight-technician,273027546,NA,NA
ROSEJOSMA1,5/7/2015,NA,Resight-participant,265117111,NA,NA
TOSCPAMMA1,5/7/2015,NA,Resight-participant,265117135,NA,NA
DOPLJANMA1,5/8/2015,NA,Resight-participant,264185626,NA,NA
MERIMARMA1,5/10/2015,NA,Resight-participant,269087789,NA,NA
MERIMARMA1,5/10/2015,NA,Resight-participant,269087793,NA,NA
CLAYBRYMA1,5/15/2015,NA,Resight-participant,272099521,NA,NA
WILLJUDMA1,5/15/2015,NA,Resight-technician,256186629,NA,NA
LEWASUSMA1,5/16/2015,NA,Resight-technician,264185647,NA,NA
REIDLOLMA1,5/20/2015,NA,Resight-technician,265117129,NA,NA
BAKENANMA1,5/23/2015,NA,Resight-technician,273027519,NA,NA
MERIMARMA1,5/24/2015,NA,Resight-participant,269087789,NA,NA
BRIDNATMA1,5/25/2015,NA,Resight-technician,256186663,NA,NA
HIGGBETMA1,5/26/2015,NA,Resight-technician,265117117,NA,NA
HODGBENMA1,5/29/2015,NA,Resight-technician,264185619,NA,NA
BULLTHOMA1,6/1/2015,NA,Resight-participant,135263501,NA,NA
DELUBILMA1,6/1/2015,NA,Resight-technician,135263520,NA,NA
DELUBILMA1,6/1/2015,NA,Resight-technician,253191185,NA,NA
PRANSABMA1,6/3/2015,NA,Resight-technician,264185637,NA,NA
PRANSABMA1,6/3/2015,NA,Resight-technician,272099541,NA,NA
HAZZANNMA1,6/4/2015,NA,Resight-participant,272099636,NA,NA
GAIEMELMA1,6/7/2015,NA,Resight-technician,229144294,NA,NA
GAIEMELMA1,6/7/2015,NA,Resight-technician,237104314,NA,NA
GRIFRACMA1,6/8/2015,NA,Resight-participant,264185630,NA,NA
GRIFRACMA1,6/9/2015,NA,Resight-participant,189111072,NA,NA
SHEAMARMA1,6/10/2015,NA,Resight-technician,264185667,NA,NA
GRIFRACMA1,6/12/2015,NA,Resight-participant,135263516,NA,NA
GRIFRACMA1,6/13/2015,NA,Resight-participant,121236664,NA,NA
MERIMARMA1,6/13/2015,NA,Resight-technician,272099505,NA,NA
GRIFRACMA1,6/14/2015,NA,Resight-participant,264185632,NA,NA
KINGDAVMA1,6/18/2015,NA,Resight-technician,272099593,NA,NA
KINGDAVMA1,6/18/2015,NA,Resight-technician,237104325,-72.3044,42.2406
ZIMMBOBMA1,6/18/2015,NA,Resight-technician,269087596,-72.567542,42.43453
WIRZCARMA1,6/25/2015,NA,Resight-participant,265117098,NA,NA
DOPLJANMA1,6/29/2015,NA,Resight-participant,256186695,NA,NA
WIRZCARMA1,6/29/2015,NA,Resight-participant,265117097,NA,NA
WIRZCARMA1,6/30/2015,NA,Resight-participant,229144248,NA,NA
HAZZANNMA1,7/5/2015,NA,Resight-participant,135263538,NA,NA
DOPLJANMA1,7/11/2015,NA,Resight-participant,269087755,NA,NA
LEWASUSMA1,7/24/2015,NA,Resight-participant,275035024,NA,NA
MCKEERIMA1,7/29/2015,NA,Resight-technician,258197917,NA,NA
GRIFRACMA1,8/21/2015,NA,Resight-participant,189111072,NA,NA
GRIFRACMA1,8/21/2015,NA,Resight-participant,135263516,NA,NA
GRIFRACMA1,8/21/2015,NA,Resight-participant,189111072,NA,NA
MERIMARMA1,9/17/2015,NA,Resight-participant,272099505,-72.700394,42.310804
MERIMARMA1,10/5/2015,NA,Resight-participant,269087794,-72.700394,42.310804
DOPLJANMA1,10/8/2015,NA,Resight-participant,269087755,NA,NA
DOPLJANMA1,10/10/2015,NA,Resight-participant,257183148,NA,NA
DOPLJANMA1,10/10/2015,NA,Resight-participant,275035145,NA,NA
ROSEJOSMA1,10/21/2015,NA,Resight-participant,189111047,NA,NA
ARCADIAMA1,11/7/2015,NA,Resight-participant,257183145,NA,NA
HAZZANNMA1,11/13/2015,NA,Resight-participant,272099636,NA,NA
HAZZANNMA1,11/18/2015,NA,Resight-participant,272099513,NA,NA
JOHAHEAMA1,11/28/2015,NA,Resight-participant,265143301,NA,NA
JOHAHEAMA1,12/11/2015,NA,Resight-participant,265143301,NA,NA
DOPLJANMA1,12/12/2015,NA,Resight-participant,269087755,NA,NA
DOPLJANMA1,12/12/2015,NA,Resight-participant,275035145,NA,NA
ARCADIAMA1,12/17/2015,NA,Resight-participant,265117190,NA,NA
JOHAHEAMA1,12/25/2015,NA,Resight-participant,265143301,NA,NA
SVECSTEMA1,1/3/2016,NA,Resight-participant,257183140,-72.633165,42.120967
DOPLJANMA1,1/9/2016,NA,Resight-participant,269087755,NA,NA
DOPLJANMA1,1/9/2016,NA,Resight-participant,275035145,NA,NA
CLAYBRYMA1,1/14/2016,NA,Resight-participant,272099520,NA,NA
CLAYBRYMA1,1/22/2016,NA,Resight-participant,256186618,NA,NA
DOPLJANMA1,1/23/2016,NA,Resight-participant,257183147,NA,NA
DOYLPHIMA1,1/28/2016,NA,Resight-participant,272099671,NA,NA
LEWASUSMA1,1/31/2016,NA,Resight-participant,256186608,NA,NA
GAIEMELMA1,2/12/2016,NA,Resight-participant,265117077,NA,NA
JOHAHEAMA1,2/14/2016,NA,Resight-participant,265143301,NA,NA
DOPLJANMA1,2/21/2016,NA,Resight-participant,257183147,NA,NA
DOPLJANMA1,2/21/2016,NA,Resight-participant,275035145,NA,NA
ATHEJIMMA2,2/23/2016,NA,Resight-participant,272099610,NA,NA
GRIFRACMA1,2/29/2016,NA,Resight-participant,189111072,NA,NA
DOPLJANMA1,3/6/2016,NA,Resight-participant,257183147,NA,NA
ZEPKJANMA1,3/10/2016,NA,Resight-participant,256186637,NA,NA
CLAYBRYMA1,3/12/2016,NA,Resight-participant,269087917,NA,NA
GRIFRACMA1,3/17/2016,NA,Resight-participant,121236664,NA,NA
GRIFRACMA1,3/17/2016,NA,Resight-participant,265143274,NA,NA
ARCADIAMA1,3/21/2016,NA,Resight-participant,229144239,NA,NA
GRIFRACMA1,3/24/2016,NA,Resight-participant,165263561,NA,NA
GRIFRACMA1,3/27/2016,NA,Resight-participant,135263516,NA,NA
ZINNMARMA1,4/1/2016,NA,Resight-participant,121211434,-72.66925,42.36776
HAZZANNMA1,4/4/2016,NA,Resight-participant,272099513,NA,NA
HAZZANNMA1,4/9/2016,NA,Resight-participant,135263538,NA,NA
KINGDAVMA1,4/11/2016,NA,Resight-participant,237104325,-72.515935,42.403039
BAKENANMA1,4/18/2016,NA,Resight-participant,269087715,NA,NA
BAKENANMA1,4/22/2016,NA,Resight-participant,256186610,NA,NA
BAKENANMA1,4/23/2016,NA,Resight-participant,275035037,NA,NA
MATHLYNMA1,5/1/2016,LMM,Resight-participant,2651-17178,NA,NA
MATHLYNMA1,5/1/2016,LMM,Resight-participant,2651-43300,NA,NA
ARCADIAMA1,5/1/2016,NA,Resight-participant,229144239,NA,NA
HIGGBETMA1,5/7/2016,NA,Resight-participant,265117117,NA,NA
GRIFRACMA1,5/8/2016,NA,Resight-participant,121236664,NA,NA
DOYLPHIMA1,5/9/2016,NA,Resight-participant,265143267,NA,NA
GRIFRACMA1,5/9/2016,NA,Resight-participant,264185630,NA,NA
GRIFRACMA1,5/10/2016,NA,Resight-participant,165263561,NA,NA
GRIFRACMA1,5/10/2016,NA,Resight-participant,189111070,NA,NA
THERLARMA1,5/10/2016,NA,Resight-participant,265143256,NA,NA
ATHEJIMMA2,5/12/2016,NA,Resight-participant,265143213,NA,NA
ATHEJIMMA2,5/13/2016,NA,Resight-participant,272099610,NA,NA
BOYLCOLMA1,5/13/2016,NA,Resight-participant,264185511,NA,NA
DOYLPHIMA1,5/13/2016,NA,Resight-participant,265143266,NA,NA
GRIFRACMA1,5/15/2016,NA,Resight-participant,264185632,NA,NA
KINGGEOMA1,5/15/2016,NA,Resight-participant,265117152,NA,NA
HIGGBETMA1,5/16/2016,SBL,Resight-technician,-,NA,NA
HILLSALMA1,5/18/2016,NA,Resight-technician,-,NA,NA
SPLAMARMA2,5/20/2016,SBL,Resight-targeted,2571-83134,-72.67021,42.24997
TOSCPAMMA1,5/22/2016,NA,Resight-targeted,-,-72.62794,42.55252
TOSCPAMMA1,5/22/2016,NA,Resight-targeted,-,-72.62923,42.55269
CLAYBRYMA1,5/24/2016,NA,Resight-targeted,-,-72.4858889,42.09943
FORDSUSMA1,5/27/2016,SMB,Resight-technician,2571-83122,NA,NA
FORDSUSMA1,5/27/2016,TMB,Resight-technician,2720-99649,NA,NA
FORDSUSMA1,5/27/2016,TMB,Resight-technician,2720-99650,NA,NA
SHEAMARMA1,5/28/2016,SMB,Resight-targeted,-,-72.60554,42.48123
PIEPSUSMA1,5/29/2016,TMB,Resight-targeted,1212-36680,-76.60584,42.12559
PIEPSUSMA1,5/29/2016,TMB,Resight-targeted,2651-17102,-72.60612,42.12531
PAGEALLMA1,5/31/2016,RSG,Resight-targeted,2750-35054,-72.52859,42.53548
GRIFRACMA1,6/1/2016,NA,Resight-participant,189111070,NA,NA
GRIFRACMA1,6/1/2016,NA,Resight-participant,189111072,NA,NA
GRIFRACMA1,6/1/2016,NA,Resight-participant,264185630,NA,NA
SINIKRIMA1,6/3/2016,RSG,Resight-targeted,2750-35061,-72.57181,42.58568
ROSEJOSMA1,6/4/2016,TMB,Resight-incidental,2651-17111,-72.47962,42.37844
BAKENANMA1,6/7/2016,SMB,Resight-targeted,2730-27519,NA,NA
BAKENANMA1,6/7/2016,SMB,Resight-targeted,2750-35037,NA,NA
BAKENANMA1,6/7/2016,SMB,Resight-incidental,2561-86610,NA,NA
GRIFRACMA1,6/9/2016,NA,Resight-participant,264185632,NA,NA
KINGGEOMA1,6/9/2016,NA,Resight-participant,265117152,NA,NA
MALTELIMA1,6/11/2016,TMB,Resight-targeted,2690-87934,NA,NA
GRIFRACMA1,6/11/2016,NA,Resight-participant,165263561,NA,NA
GRIFRACMA1,6/11/2016,NA,Resight-participant,265143275,NA,NA
STEPJANMA1,6/14/2016,TMB,Resight-targeted,2291-44253,NA,NA
WILLJUDMA1,6/16/2016,TMB,Resight-targeted,1212-52839,NA,NA
CANNANNMA1,6/21/2016,SMB,Resight-targeted,2641-85610,-72.53558,42.31897
CANNANNMA1,6/21/2016,SMB,Resight-targeted,2641-85611,-72.53558,42.31897
MERIMARMA1,6/26/2016,TMB,Resight-incidental,2690-87789,-72.70177,42.31003
MERIMARMA1,6/26/2016,TMB,Resight-incidental,2690-87794,-72.70177,42.31003
MERIMARMA1,6/26/2016,TMB,Resight-incidental,2720-99664,-72.70177,42.31003
MERIMARMA1,6/26/2016,TMB,Resight-incidental,2720-99665,-72.70177,42.31003
MERIMARMA1,6/26/2016,TMB,Resight-targeted,2651-43264,-72.69973,42.31059
SURNSANMA1,7/4/2016,TMB,Resight-incidental,1891-11058,-72.5309,42.36445
DOYLPHIMA1,7/8/2016,SBL,Resight-incidental,2651-43267,NA,NA
RINADAVMA1,7/10/2016,TMB,Resight-targeted,2571-83052,-72.68148,42.0592
PICKSALMA1,7/11/2016,TMB,Resight-incidental,2750-34913,NA,NA
GRIFRACMA1,7/11/2016,SBL,Resight-incidental,2641-85630,NA,NA
MATHLYNMA1a,7/13/2016,TMB,Resight-incidental,2651-43300,-72.69594,42.58263
MATHLYNMA1a,7/13/2016,LMM,Resight-participant,2651-17178,NA,NA
ROSEJOSMA1,10/22/2016,NA,Resight-participant,272099619,NA,NA
HIGGBETMA1,NULL,NA,Resight-participant,-,NA,NA
